,ListingID,Property_Type,Region,Locality,Price,FloorSize,SizeType,Bedrooms,Bathrooms,Furnishing,Property_Condition,Developer,Society,Longitude,Latitude,Price_PSQFT,URL
221,1431,Builder Floor Apartment,Chennai South,Pallikaranai,4700000,858.0,super area,2.0,2.0,Unfurnished,Resale,,,0.0,0.0,5477.855478,https://www.magicbricks.com/propertyDetails/2-BHK-858-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423437303337383333
222,1534,Builder Floor Apartment,Chennai South,Pallikaranai,6000000,1100.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5454.5454549999995,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423436393138333437
223,2138,Builder Floor Apartment,Chennai South,Thiruvanmiyur,11500000,1600.0,carpet area,3.0,3.0,Unfurnished,Resale,,,0.0,0.0,5445.075758,https://www.magicbricks.com/propertyDetails/3-BHK-1625-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423437353032323231
224,919,Apartment,Chennai South,Karapakkam,15800000,2206.0,carpet area,4.0,4.0,Unfurnished,Resale,Casagrand Builder Pvt. Ltd.,CasaGrand The Address,12.915816699999999,80.22892,5425.973241,https://www.magicbricks.com/propertyDetails/4-BHK-2396-Sq-ft-Multistorey-Apartment-FOR-Sale-Karapakkam-in-Chennai&id=4d423438373837373731
225,284,Apartment,Chennai South,Uthandi,17888000,2500.0,carpet area,4.0,5.0,Semi-Furnished,Resale,,,20.83392906,71.05703735,5420.6060609999995,https://www.magicbricks.com/propertyDetails/4-BHK-2752-Sq-ft-Multistorey-Apartment-FOR-Sale-Egattur-in-Chennai&id=4d423436333733353633
226,893,Apartment,Chennai South,Medavakkam,10000000,1845.0,super area,3.0,3.0,Semi-Furnished,Resale,,,12.91814709,80.19001007,5420.054201,https://www.magicbricks.com/propertyDetails/3-BHK-1845-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423438373635383639
227,1392,Builder Floor Apartment,Chennai South,Sholinganallur,8100000,1495.0,super area,3.0,3.0,Semi-Furnished,Resale,,,0.0,0.0,5418.060201,https://www.magicbricks.com/propertyDetails/3-BHK-1495-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423432373535303833
228,1153,Apartment,Chennai South,Medavakkam,6500000,1200.0,super area,3.0,3.0,Unfurnished,New Property,,,0.0,0.0,5416.666667,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423436333531303531
229,237,Apartment,Chennai South,Sholinganallur,8500000,1190.0,carpet area,3.0,2.0,Furnished,Resale,Embassy Group,Embassy Residency,12.894228,80.20739388,5411.255411,https://www.magicbricks.com/propertyDetails/3-BHK-1546-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423435383236303737
230,1522,Apartment,Chennai South,Pallikaranai,7500000,1386.0,super area,3.0,3.0,Semi-Furnished,Resale,,Amraas Prime Rose Apartments,0.0,0.0,5411.255411,https://www.magicbricks.com/propertyDetails/3-BHK-1386-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423434393132323931
231,1592,Apartment,Chennai South,Sembakkam,4700000,870.0,super area,2.0,2.0,Unfurnished,Resale,,,0.0,0.0,5402.298851,https://www.magicbricks.com/propertyDetails/2-BHK-870-Sq-ft-Multistorey-Apartment-FOR-Sale-Sembakkam-in-Chennai&id=4d423438373234373035
